event_type,order_id,customer_id,customer_name,city,product_id,product_name,category,unit_price,quantity,total_amount,status,platform,ingested_at,event_timestamp,event_date,event_hour,event_year,event_month,processed_at
order,ORD-39749,405,Manan Setty,MUMBAI,7,Chair,Furniture,4500.0,1,4500.0,placed,web,2026-03-15T10:57:30.009Z,2026-03-15T10:57:20.579Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-91349,192,Jasmit Dhingra,CHENNAI,4,Jeans,Clothing,1499.0,2,2998.0,delivered,app,2026-03-15T10:57:30.009Z,2026-03-15T10:57:24.718Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-61462,304,Niharika Balakrishnan,BENGALURU,4,Jeans,Clothing,1499.0,1,1499.0,confirmed,mobile,2026-03-15T10:57:30.009Z,2026-03-15T10:57:29.034Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-71602,191,Unni Bala,PUNE,8,Desk,Furniture,8000.0,3,24000.0,cancelled,mobile,2026-03-15T11:02:30.011Z,2026-03-15T11:01:59.277Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-32129,162,Kevin Sane,MUMBAI,1,Laptop,Electronics,45000.0,2,90000.0,confirmed,app,2026-03-15T11:02:30.011Z,2026-03-15T11:02:03.458Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-37369,480,Zarna Sastry,HYDERABAD,5,Rice 5kg,Grocery,350.0,3,1050.0,cancelled,app,2026-03-15T11:02:30.011Z,2026-03-15T11:02:07.632Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-80968,292,Tejas Patil,CHENNAI,1,Laptop,Electronics,45000.0,2,90000.0,delivered,app,2026-03-15T11:02:30.011Z,2026-03-15T11:02:11.797Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-44743,462,Andrew Rastogi,BENGALURU,3,T-Shirt,Clothing,599.0,2,1198.0,placed,web,2026-03-15T11:02:30.011Z,2026-03-15T11:02:15.969Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-83898,406,Chakrika Sami,HYDERABAD,1,Laptop,Electronics,45000.0,5,225000.0,cancelled,app,2026-03-15T11:02:30.011Z,2026-03-15T11:02:20.108Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-55745,220,Aradhana Arora,DELHI,6,Coffee,Grocery,450.0,2,900.0,shipped,mobile,2026-03-15T11:02:30.011Z,2026-03-15T11:02:24.265Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-90901,371,Lipika Munshi,CHENNAI,5,Rice 5kg,Grocery,350.0,1,350.0,confirmed,mobile,2026-03-15T11:02:30.011Z,2026-03-15T11:02:28.413Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-66789,141,Zinal Kuruvilla,HYDERABAD,5,Rice 5kg,Grocery,350.0,3,1050.0,cancelled,app,2026-03-15T11:16:00.006Z,2026-03-15T11:15:30.211Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-11777,464,Faqid Ghose,DELHI,3,T-Shirt,Clothing,599.0,5,2995.0,shipped,app,2026-03-15T11:16:00.006Z,2026-03-15T11:15:34.337Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-39918,249,Oscar Soman,DELHI,5,Rice 5kg,Grocery,350.0,5,1750.0,confirmed,app,2026-03-15T11:16:00.006Z,2026-03-15T11:15:38.477Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-46532,286,Sanya Radhakrishnan,CHENNAI,2,Phone,Electronics,15000.0,4,60000.0,confirmed,app,2026-03-15T11:16:00.006Z,2026-03-15T11:15:42.625Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-65002,131,Karan Keer,MUMBAI,3,T-Shirt,Clothing,599.0,4,2396.0,cancelled,web,2026-03-15T11:16:00.006Z,2026-03-15T11:15:46.775Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-15996,169,Ekbal Mallick,PUNE,5,Rice 5kg,Grocery,350.0,5,1750.0,shipped,mobile,2026-03-15T11:16:00.006Z,2026-03-15T11:15:50.953Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-17194,26,Damyanti Sura,DELHI,7,Chair,Furniture,4500.0,5,22500.0,delivered,mobile,2026-03-15T11:16:00.006Z,2026-03-15T11:15:55.084Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-33747,86,Mason Varughese,BENGALURU,4,Jeans,Clothing,1499.0,4,5996.0,shipped,mobile,2026-03-15T11:16:00.006Z,2026-03-15T11:15:59.227Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-34528,249,Gauri Sehgal,PUNE,3,T-Shirt,Clothing,599.0,1,599.0,delivered,app,2026-03-15T11:04:30.010Z,2026-03-15T11:03:59.797Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-97288,6,Raghav Sehgal,MUMBAI,8,Desk,Furniture,8000.0,1,8000.0,cancelled,web,2026-03-15T11:04:30.010Z,2026-03-15T11:04:03.945Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-87261,414,Naksh Chakraborty,BENGALURU,6,Coffee,Grocery,450.0,4,1800.0,shipped,web,2026-03-15T11:04:30.010Z,2026-03-15T11:04:08.100Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-36135,351,Ekani Dash,CHENNAI,2,Phone,Electronics,15000.0,1,15000.0,delivered,web,2026-03-15T11:04:30.010Z,2026-03-15T11:04:12.250Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-96122,250,Arya Khalsa,BENGALURU,8,Desk,Furniture,8000.0,1,8000.0,cancelled,web,2026-03-15T11:04:30.010Z,2026-03-15T11:04:16.430Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-17594,387,Bakhshi Tak,DELHI,1,Laptop,Electronics,45000.0,3,135000.0,cancelled,app,2026-03-15T11:04:30.010Z,2026-03-15T11:04:20.605Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-34533,448,Niharika Khatri,MUMBAI,5,Rice 5kg,Grocery,350.0,1,350.0,shipped,app,2026-03-15T11:04:30.010Z,2026-03-15T11:04:24.785Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-87256,206,Charles Radhakrishnan,CHENNAI,3,T-Shirt,Clothing,599.0,2,1198.0,confirmed,web,2026-03-15T11:04:30.010Z,2026-03-15T11:04:28.919Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-76271,67,Patrick Konda,CHENNAI,7,Chair,Furniture,4500.0,2,9000.0,confirmed,app,2026-03-15T11:09:30.009Z,2026-03-15T11:08:59.808Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-77702,273,Naveen Rajagopalan,PUNE,6,Coffee,Grocery,450.0,1,450.0,confirmed,app,2026-03-15T11:09:30.009Z,2026-03-15T11:09:03.939Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-94718,86,Leena Swaminathan,DELHI,1,Laptop,Electronics,45000.0,3,135000.0,confirmed,web,2026-03-15T11:09:30.009Z,2026-03-15T11:09:08.082Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-61388,243,Saumya Saini,HYDERABAD,7,Chair,Furniture,4500.0,4,18000.0,cancelled,app,2026-03-15T11:09:30.009Z,2026-03-15T11:09:12.229Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-91578,397,Vrishti Salvi,PUNE,7,Chair,Furniture,4500.0,1,4500.0,shipped,web,2026-03-15T11:09:30.009Z,2026-03-15T11:09:16.378Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-55532,109,Kabir Gara,BENGALURU,3,T-Shirt,Clothing,599.0,2,1198.0,delivered,web,2026-03-15T11:09:30.009Z,2026-03-15T11:09:20.543Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-23194,133,Yuvraj Murthy,BENGALURU,6,Coffee,Grocery,450.0,1,450.0,delivered,mobile,2026-03-15T11:09:30.009Z,2026-03-15T11:09:24.699Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-64053,468,Amrita Bandi,PUNE,8,Desk,Furniture,8000.0,2,16000.0,cancelled,mobile,2026-03-15T11:09:30.009Z,2026-03-15T11:09:28.864Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-77695,131,Watika Prasad,BENGALURU,7,Chair,Furniture,4500.0,3,13500.0,cancelled,mobile,2026-03-15T11:30:30.008Z,2026-03-15T11:30:00.061Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-43915,192,Ethan Ganesh,CHENNAI,4,Jeans,Clothing,1499.0,5,7495.0,confirmed,app,2026-03-15T11:30:30.008Z,2026-03-15T11:30:04.221Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-60167,417,Eesha Mital,BENGALURU,8,Desk,Furniture,8000.0,3,24000.0,cancelled,web,2026-03-15T11:30:30.008Z,2026-03-15T11:30:08.379Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-13638,262,Ranveer Andra,BENGALURU,2,Phone,Electronics,15000.0,1,15000.0,shipped,mobile,2026-03-15T11:30:30.008Z,2026-03-15T11:30:12.514Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-98748,91,Manthan Pal,CHENNAI,8,Desk,Furniture,8000.0,3,24000.0,delivered,mobile,2026-03-15T11:30:30.008Z,2026-03-15T11:30:16.663Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-70258,91,Timothy Nath,CHENNAI,2,Phone,Electronics,15000.0,5,75000.0,placed,web,2026-03-15T11:30:30.008Z,2026-03-15T11:30:20.835Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-75156,420,Lajita Soman,DELHI,5,Rice 5kg,Grocery,350.0,4,1400.0,confirmed,app,2026-03-15T11:30:30.008Z,2026-03-15T11:30:24.971Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-27922,197,Divya Rastogi,PUNE,1,Laptop,Electronics,45000.0,5,225000.0,shipped,web,2026-03-15T11:30:30.008Z,2026-03-15T11:30:29.182Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-90356,148,Raghav Loke,PUNE,7,Chair,Furniture,4500.0,2,9000.0,placed,web,2026-03-15T11:32:00.005Z,2026-03-15T11:31:29.890Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-39847,228,Oni Vora,CHENNAI,4,Jeans,Clothing,1499.0,5,7495.0,confirmed,app,2026-03-15T11:32:00.005Z,2026-03-15T11:31:34.022Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-50309,225,Jeevika Kapur,CHENNAI,2,Phone,Electronics,15000.0,5,75000.0,placed,web,2026-03-15T11:32:00.005Z,2026-03-15T11:31:38.177Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-19256,138,Chandran Kannan,PUNE,5,Rice 5kg,Grocery,350.0,2,700.0,shipped,mobile,2026-03-15T11:32:00.005Z,2026-03-15T11:31:42.343Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-27157,430,Aachal Sabharwal,MUMBAI,8,Desk,Furniture,8000.0,1,8000.0,placed,web,2026-03-15T11:32:00.005Z,2026-03-15T11:31:46.490Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-96839,244,Hemal Kashyap,BENGALURU,3,T-Shirt,Clothing,599.0,4,2396.0,delivered,app,2026-03-15T11:32:00.005Z,2026-03-15T11:31:50.649Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-14682,190,Fariq Rajagopal,HYDERABAD,2,Phone,Electronics,15000.0,1,15000.0,placed,web,2026-03-15T11:32:00.005Z,2026-03-15T11:31:54.815Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-37573,186,Sathvik Manne,BENGALURU,8,Desk,Furniture,8000.0,2,16000.0,delivered,app,2026-03-15T11:32:00.005Z,2026-03-15T11:31:58.971Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-30173,136,Vrinda Tripathi,BENGALURU,5,Rice 5kg,Grocery,350.0,3,1050.0,shipped,mobile,2026-03-15T11:08:30.006Z,2026-03-15T11:07:59.547Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-42104,310,Dhruv Shetty,CHENNAI,2,Phone,Electronics,15000.0,5,75000.0,confirmed,app,2026-03-15T11:08:30.006Z,2026-03-15T11:08:03.692Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-47578,218,Om Singhal,PUNE,1,Laptop,Electronics,45000.0,4,180000.0,shipped,mobile,2026-03-15T11:08:30.006Z,2026-03-15T11:08:07.859Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-86293,266,Aditya Bail,MUMBAI,2,Phone,Electronics,15000.0,5,75000.0,shipped,mobile,2026-03-15T11:08:30.006Z,2026-03-15T11:08:12.006Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-83551,53,Lajita Balasubramanian,MUMBAI,5,Rice 5kg,Grocery,350.0,1,350.0,shipped,web,2026-03-15T11:08:30.006Z,2026-03-15T11:08:16.139Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-91195,372,Zaitra Dixit,MUMBAI,4,Jeans,Clothing,1499.0,1,1499.0,confirmed,mobile,2026-03-15T11:08:30.006Z,2026-03-15T11:08:20.289Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-98039,400,Jonathan Shenoy,BENGALURU,8,Desk,Furniture,8000.0,5,40000.0,delivered,app,2026-03-15T11:08:30.006Z,2026-03-15T11:08:24.451Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-22150,54,Indrajit Tak,HYDERABAD,2,Phone,Electronics,15000.0,1,15000.0,shipped,mobile,2026-03-15T11:08:30.006Z,2026-03-15T11:08:28.616Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-78500,290,Watika Agarwal,HYDERABAD,7,Chair,Furniture,4500.0,5,22500.0,confirmed,app,2026-03-15T11:14:00.008Z,2026-03-15T11:13:29.705Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-63271,478,Bhavika Biswas,MUMBAI,2,Phone,Electronics,15000.0,5,75000.0,cancelled,mobile,2026-03-15T11:14:00.008Z,2026-03-15T11:13:33.860Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-48015,389,Girindra Dhillon,MUMBAI,5,Rice 5kg,Grocery,350.0,1,350.0,placed,web,2026-03-15T11:14:00.008Z,2026-03-15T11:13:38.024Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-61323,412,Megha Kibe,BENGALURU,4,Jeans,Clothing,1499.0,2,2998.0,shipped,mobile,2026-03-15T11:14:00.008Z,2026-03-15T11:13:42.181Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-97141,424,Ikshita Ramanathan,PUNE,8,Desk,Furniture,8000.0,3,24000.0,delivered,app,2026-03-15T11:14:00.008Z,2026-03-15T11:13:46.351Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-49325,149,Balveer Sahni,HYDERABAD,5,Rice 5kg,Grocery,350.0,5,1750.0,shipped,web,2026-03-15T11:14:00.008Z,2026-03-15T11:13:50.528Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-41595,216,Omaja Mannan,PUNE,4,Jeans,Clothing,1499.0,3,4497.0,shipped,mobile,2026-03-15T11:14:00.008Z,2026-03-15T11:13:54.659Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-45438,409,Abhimanyu Dara,CHENNAI,7,Chair,Furniture,4500.0,1,4500.0,shipped,mobile,2026-03-15T11:14:00.008Z,2026-03-15T11:13:58.799Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-63203,273,Ojasvi Brar,HYDERABAD,8,Desk,Furniture,8000.0,2,16000.0,placed,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:29.606Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-18416,419,Sai Merchant,BENGALURU,2,Phone,Electronics,15000.0,5,75000.0,placed,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:33.744Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-20655,279,Xiti Johal,PUNE,5,Rice 5kg,Grocery,350.0,4,1400.0,shipped,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:37.882Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-43333,395,Abhimanyu Nanda,MUMBAI,4,Jeans,Clothing,1499.0,5,7495.0,delivered,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:42.030Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-74302,344,Jalsa Sheth,DELHI,5,Rice 5kg,Grocery,350.0,3,1050.0,confirmed,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:46.188Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-45743,312,Nihal Subramanian,DELHI,7,Chair,Furniture,4500.0,5,22500.0,delivered,mobile,2026-03-15T11:25:00.006Z,2026-03-15T11:24:50.359Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-12704,388,Ekalinga Menon,CHENNAI,8,Desk,Furniture,8000.0,3,24000.0,cancelled,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:54.506Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-17575,206,Charles Bala,HYDERABAD,5,Rice 5kg,Grocery,350.0,2,700.0,confirmed,app,2026-03-15T11:25:00.006Z,2026-03-15T11:24:58.678Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-70294,294,Dalbir Bora,MUMBAI,4,Jeans,Clothing,1499.0,5,7495.0,delivered,app,2026-03-15T11:00:00.040Z,2026-03-15T10:59:29.660Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-48526,3,Joshua Ramanathan,HYDERABAD,2,Phone,Electronics,15000.0,2,30000.0,cancelled,web,2026-03-15T11:00:00.040Z,2026-03-15T10:59:33.792Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-63330,84,Ishani Kanda,CHENNAI,5,Rice 5kg,Grocery,350.0,1,350.0,placed,mobile,2026-03-15T11:00:00.040Z,2026-03-15T10:59:37.946Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-58600,380,David Wadhwa,PUNE,4,Jeans,Clothing,1499.0,3,4497.0,shipped,web,2026-03-15T11:00:00.040Z,2026-03-15T10:59:42.088Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-82447,478,Amaira Sarna,HYDERABAD,6,Coffee,Grocery,450.0,1,450.0,placed,mobile,2026-03-15T11:00:00.040Z,2026-03-15T10:59:46.237Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-47572,110,Viraj Kalla,HYDERABAD,4,Jeans,Clothing,1499.0,5,7495.0,cancelled,web,2026-03-15T11:00:00.040Z,2026-03-15T10:59:50.418Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-88271,12,Nidhi Pant,HYDERABAD,7,Chair,Furniture,4500.0,2,9000.0,delivered,app,2026-03-15T11:00:00.040Z,2026-03-15T10:59:54.583Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-27004,491,Nilima Setty,PUNE,8,Desk,Furniture,8000.0,4,32000.0,cancelled,app,2026-03-15T11:00:00.040Z,2026-03-15T10:59:58.732Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-97906,157,Rajata Cheema,BENGALURU,5,Rice 5kg,Grocery,350.0,3,1050.0,cancelled,app,2026-03-15T10:59:00.009Z,2026-03-15T10:58:29.306Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-24340,390,Dominic Brahmbhatt,BENGALURU,3,T-Shirt,Clothing,599.0,2,1198.0,placed,web,2026-03-15T10:59:00.009Z,2026-03-15T10:58:33.470Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-41863,363,Oliver Trivedi,CHENNAI,1,Laptop,Electronics,45000.0,2,90000.0,confirmed,app,2026-03-15T10:59:00.009Z,2026-03-15T10:58:37.634Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-66782,113,Rudra Sant,HYDERABAD,4,Jeans,Clothing,1499.0,2,2998.0,placed,app,2026-03-15T10:59:00.009Z,2026-03-15T10:58:41.783Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-22153,100,Jalsa Wali,CHENNAI,5,Rice 5kg,Grocery,350.0,5,1750.0,placed,web,2026-03-15T10:59:00.009Z,2026-03-15T10:58:45.949Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-56563,299,Robert Kanda,BENGALURU,2,Phone,Electronics,15000.0,2,30000.0,cancelled,app,2026-03-15T10:59:00.009Z,2026-03-15T10:58:50.112Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-23042,289,Anirudh Kothari,DELHI,6,Coffee,Grocery,450.0,4,1800.0,shipped,mobile,2026-03-15T10:59:00.009Z,2026-03-15T10:58:54.260Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-84261,302,Kai Datta,BENGALURU,6,Coffee,Grocery,450.0,1,450.0,shipped,mobile,2026-03-15T10:59:00.009Z,2026-03-15T10:58:58.392Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-55126,69,Vivaan Rege,MUMBAI,3,T-Shirt,Clothing,599.0,3,1797.0,shipped,app,2026-03-15T11:18:30.008Z,2026-03-15T11:17:59.863Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-94398,334,Nihal Goswami,CHENNAI,5,Rice 5kg,Grocery,350.0,1,350.0,delivered,web,2026-03-15T11:18:30.008Z,2026-03-15T11:18:04.012Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-62754,16,Avi Bala,DELHI,6,Coffee,Grocery,450.0,4,1800.0,placed,mobile,2026-03-15T11:18:30.008Z,2026-03-15T11:18:08.142Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-75860,139,Madhav Kala,PUNE,7,Chair,Furniture,4500.0,5,22500.0,shipped,app,2026-03-15T11:18:30.008Z,2026-03-15T11:18:12.299Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-18180,429,George Bera,DELHI,5,Rice 5kg,Grocery,350.0,4,1400.0,delivered,app,2026-03-15T11:18:30.008Z,2026-03-15T11:18:16.433Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-85814,323,Triveni Mitra,PUNE,5,Rice 5kg,Grocery,350.0,4,1400.0,shipped,mobile,2026-03-15T11:18:30.008Z,2026-03-15T11:18:20.570Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-37651,372,Faqid Bahri,PUNE,2,Phone,Electronics,15000.0,4,60000.0,placed,app,2026-03-15T11:18:30.008Z,2026-03-15T11:18:24.735Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-60420,498,Ridhi Kumer,HYDERABAD,1,Laptop,Electronics,45000.0,5,225000.0,cancelled,app,2026-03-15T11:18:30.008Z,2026-03-15T11:18:28.950Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
